id,name,normalised_name,aliases
0d52e01c-858b-34df-a0de-be7d08a483c3,Jozé Privek,joze-privek,{'Jozé Priv\x9aek'}
0d62ed9c-34bf-3b0c-b097-220bb79592eb,Tony Wegas,tony-wegas,{'Tony Wegas'}
0d7a0f81-bd73-363b-a773-de7bad8e35f1,Mikhail Nekrasov,mikhail-nekrasov,{'Mikhail Nekrasov'}
0da3f64d-e612-32e1-a979-43e301f497bf,Telex,telex,{'Telex'}
0db537c3-33db-33e6-83d4-12230f82b008,Jacques Datin,jacques-datin,{'Jacques Datin'}
0db6be86-66e4-306c-95b0-5965b08cec18,Pierre Barouh,pierre-barouh,{'Pierre Barouh'}
0dc2d879-d9ce-3e68-82ea-38fd4b67f987,Tonia,tonia,{'Tonia'}
0dcad2dc-0c27-314e-b9ff-7c6d09f9ce61,Gérard Curci,gerard-curci,{'Gérard Curci'}
0dea92b4-4aed-3500-b568-d5bdef1dee11,Ilia Beyers,ilia-beyers,{'Ilia Beyers'}
0dfd030b-a5a9-38ef-b7c7-eb4eb91ef684,ZOË,zoe,{'ZOË'}
0dfd27fa-8ae1-3851-a6af-8c124d5e2051,Zrinko Tutic,zrinko-tutic,{'Zrinko Tutic'}
0e0dec13-ab08-3241-94d0-f16cccbe9531,Frank Ramond,frank-ramond,{'Frank Ramond'}
0e14cd75-bd26-30fb-8952-227edf72c8f5,Katrina Noorbergen,katrina-noorbergen,{'Katrina Noorbergen'}
0e1c6c98-bdfb-387a-b9c4-d4964b847a4f,Gary Miller,gary-miller,{'Gary Miller'}
0e250fd3-bbcc-39db-8da9-bc36e7bb0823,Alma,alma,{'Alma'}
0e2a85a1-4afa-3def-a9cd-01d6e417ce92,Flemming Gernyx,flemming-gernyx,{'Flemming Gernyx'}
0e372e1c-ba6d-3f9a-a1da-1fdc2ce7ce69,Marc Berry,marc-berry,{'Marc Berry'}
0e4c5a7d-1e86-3fe9-84ea-2c219a1e3dff,Rodoula Papalambrianou,rodoula-papalambrianou,{'Rodoula Papalambrianou'}
0e86da65-a554-3cb4-b73b-6a1432ab50d3,Scott English,scott-english,{'Scott English'}
0e98e947-ae86-34d9-beaf-b71aa978ddfe,Cornelia Lackner,cornelia-lackner,{'Cornelia Lackner'}
0ea4fb73-c845-3a45-82b6-79438a23e4d2,Alice Dona,alice-dona,{'Alice Dona'}
0ea69611-dac0-37c2-b1b4-e76680f8c271,Jack White,jack-white,{'Jack White'}
0ee3b178-a94c-3b7f-b8e1-fe7a3da67fc2,Wojciech Ziembicki,wojciech-ziembicki,{'Wojciech Ziembicki'}
0ee780d4-383e-3a41-a89b-e60b3ef243b1,John O'Flynn,john-o-flynn,"{""John O'Flynn""}"
