artist,country,points,performance_order,ranking,broadcaster,composers,contest_id,final_type,id,song,writers,spotify_id,acousticness,danceability,duration,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,contest_id_2,img_src,location,name,url,year
Elitsa Todorova & Stoyan Yankulov,Bulgaria,157.0,21,5,BNT,"Elitsa Todorova, Stoyan Yankoulov",e4ca4b05-c62d-3bc9-844c-2711746e7694,grand final,f743bf3a-9be9-358d-ab9c-27822fae1c6d,Water,Elitsa Todorova,,,,,,,,,,,,,,e4ca4b05-c62d-3bc9-844c-2711746e7694,https://apex.eurovision.tv/image/a39b21505b3e81b179d40363f12b48fd,Helsinki,Helsinki 2007,/event/helsinki-2007,2007
Kenan Dogulu,Turkey,163.0,22,4,TRT,Kenan Dogulu,e4ca4b05-c62d-3bc9-844c-2711746e7694,grand final,10dc27bd-4b30-397c-a785-54d0ef9ff84c,Shake It Up Shekerim,Kenan Dogulu,,,,,,,,,,,,,,e4ca4b05-c62d-3bc9-844c-2711746e7694,https://apex.eurovision.tv/image/a39b21505b3e81b179d40363f12b48fd,Helsinki,Helsinki 2007,/event/helsinki-2007,2007
Natalia Barbu,Moldova,109.0,24,10,TRM,Brasoveanu,e4ca4b05-c62d-3bc9-844c-2711746e7694,grand final,74b119d8-9786-32e7-845a-5d567b0434ed,Fight,Buga,,,,,,,,,,,,,,e4ca4b05-c62d-3bc9-844c-2711746e7694,https://apex.eurovision.tv/image/a39b21505b3e81b179d40363f12b48fd,Helsinki,Helsinki 2007,/event/helsinki-2007,2007
Arsenium & Natalia Gordienko,Moldova,22.0,2,20,TRM,Arsenium,a127ef74-dd10-3ea2-803e-405dcda1d9c8,grand final,68a615b9-ff12-35a2-a938-f449d8f9b317,Loca,Arsenium,,,,,,,,,,,,,,a127ef74-dd10-3ea2-803e-405dcda1d9c8,https://apex.eurovision.tv/image/0e36222cf494aa4f028cf3c253aa3816,Athens,Athens 2006,/event/athens-2006,2006
Eddie Butler,Israel,4.0,3,23,IBA,Eddie Butler,a127ef74-dd10-3ea2-803e-405dcda1d9c8,grand final,5c4f1905-5ce7-3f4f-9685-e7d9e7381ca7,Ze Hazman,"Osnat Tsabag, Orly Burg",,,,,,,,,,,,,,a127ef74-dd10-3ea2-803e-405dcda1d9c8,https://apex.eurovision.tv/image/0e36222cf494aa4f028cf3c253aa3816,Athens,Athens 2006,/event/athens-2006,2006
Cosmos,Latvia,30.0,4,16,LTV,"Reinis S&#275;j&#257;ns, Andris S&#275;j&#257;ns",a127ef74-dd10-3ea2-803e-405dcda1d9c8,grand final,314d026e-b9ea-3ab4-a92d-d5bac6ae3918,I Hear Your Heart,"Molly-Ann Leikin, Guntars Raès",,,,,,,,,,,,,,a127ef74-dd10-3ea2-803e-405dcda1d9c8,https://apex.eurovision.tv/image/0e36222cf494aa4f028cf3c253aa3816,Athens,Athens 2006,/event/athens-2006,2006
Christine Guldbrandsen,Norway,36.0,5,14,NRK,"Kjetil Fluge, Atle Halstensen, Christine Guldbrandsen",a127ef74-dd10-3ea2-803e-405dcda1d9c8,grand final,fdb76b8d-9742-31c2-b90b-2b267a3906d0,Alvedansen,"Kjetil Fluge, Christine Guldbrandsen",,,,,,,,,,,,,,a127ef74-dd10-3ea2-803e-405dcda1d9c8,https://apex.eurovision.tv/image/0e36222cf494aa4f028cf3c253aa3816,Athens,Athens 2006,/event/athens-2006,2006
Las Ketchup,Spain,18.0,6,21,TVE,Manuel Ruiz Gómez (Queco),a127ef74-dd10-3ea2-803e-405dcda1d9c8,grand final,a8d52a52-1273-3272-86e0-cf9ba315b50d,Bloody Mary,Manuel Ruiz Gómez (Queco),,,,,,,,,,,,,,a127ef74-dd10-3ea2-803e-405dcda1d9c8,https://apex.eurovision.tv/image/0e36222cf494aa4f028cf3c253aa3816,Athens,Athens 2006,/event/athens-2006,2006
Texas Lightning,Germany,36.0,8,14,ARD,Jane Comerford,a127ef74-dd10-3ea2-803e-405dcda1d9c8,grand final,9cb09584-927d-3f5e-8605-32e1952ce446,"No, No, Never",Jane Comerford,,,,,,,,,,,,,,a127ef74-dd10-3ea2-803e-405dcda1d9c8,https://apex.eurovision.tv/image/0e36222cf494aa4f028cf3c253aa3816,Athens,Athens 2006,/event/athens-2006,2006
Sidsel Ben Semmane,Denmark,26.0,9,18,DR,Niels Drevsholt,a127ef74-dd10-3ea2-803e-405dcda1d9c8,grand final,8b521086-08e3-3ff4-bbe3-834a78a55ce5,Twist Of Love,Niels Drevsholt,,,,,,,,,,,,,,a127ef74-dd10-3ea2-803e-405dcda1d9c8,https://apex.eurovision.tv/image/0e36222cf494aa4f028cf3c253aa3816,Athens,Athens 2006,/event/athens-2006,2006
Dima Bilan,Russia,248.0,10,2,C1R,Alexandr Lunyov,a127ef74-dd10-3ea2-803e-405dcda1d9c8,grand final,fabbd8a7-70fc-3fb9-8c93-b7897f1bdb40,Never Let You Go,"Karen Kavaleryan, Irina Antonyan",,,,,,,,,,,,,,a127ef74-dd10-3ea2-803e-405dcda1d9c8,https://apex.eurovision.tv/image/0e36222cf494aa4f028cf3c253aa3816,Athens,Athens 2006,/event/athens-2006,2006
Daz Sampson,United Kingdom,25.0,15,19,BBC,"Daz Sampson, John Matthews",a127ef74-dd10-3ea2-803e-405dcda1d9c8,grand final,abbbd455-5c41-34e6-85e9-4fbc26be26ee,Teenage Life,"Daz Sampson, John Matthews",,,,,,,,,,,,,,a127ef74-dd10-3ea2-803e-405dcda1d9c8,https://apex.eurovision.tv/image/0e36222cf494aa4f028cf3c253aa3816,Athens,Athens 2006,/event/athens-2006,2006
